datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
8/31/2006 19:55,edina,mn,us,light,60,1 minute,High in the western sky on August  31st at 7:55 p.m. in Edina M.N. USA&#44 a star like object that was fixed in the sky dimmed &#44 split up&#44,10/30/2006,44.8897222,-93.3497222
8/31/2007 11:30,culver city,ca,us,cigar,5,5-seconds,&quot;silver cigar&quot;-UFO near Culver City,10/8/2007,34.0211111,-118.3955556
8/31/2007 14:30,crestwood,il,us,sphere,600,10 minutes,Spherical object maintains position in sky for ten minutes over approach path to Midway Airport,10/8/2007,41.6611111,-87.7525
8/31/2007 20:25,meriden,ct,us,fireball,300,5 min,Initially spotted round orange fireball in Western sky&#44 at an altitude approximately you&#39d see a small plane fly. Traveled East&#44 then t,10/8/2007,41.5380556,-72.8075
8/31/2008 0:05,st. paul,mn,us,,3,3 seconds,The time of night was close to 12:05 am August 31&#44 2008. From my kitchen window facing north I saw a object cross from from my right to,10/31/2008,44.9444444,-93.0930556
8/31/2008 1:20,waterloo,ia,us,light,2100,35 min,Over Waterloo viewed from Dewar and Oelwein,10/31/2008,42.4927778,-92.3427778
8/31/2008 2:25,lindenhurst,ny,us,light,5,5 sec,Green orb of light on fire,10/31/2008,40.6866667,-73.3738889
8/31/2008 20:50,bohemia,ny,us,triangle,2,2 sec,Large object high rate of speed no lights no sound or air movement very low altitude.,10/31/2008,40.7691667,-73.1155556
8/31/2008 20:55,mesa,az,us,cigar,5400,90 minutes,At sunset&#44 a large cloud approached from the SW to a pos. approx. 10 km from us.  ((NUFORC Note:  We see clouds only.   PD)),10/31/2008,33.4222222,-111.8219444
8/31/2008 21:00,lake in the hills,il,us,light,300,2-5 minutes,Small town Lake in the Hills&#44 IL sees triangle formation similar to the ones over Tinley Park 4 years ago&#44,10/31/2008,42.1816667,-88.3302778
8/31/2008 23:00,gurnee,il,us,changing,3600,1 hour,Pulsating lights: white.red &amp;green,10/31/2008,42.3702778,-87.9019444
